observation_id,source_id,time_id,place,variable_id,value_numeric,unit,evidence_type,confidence,notes
LOC_JB_COV_0001,LOC_NATIONAL_JUKEBOX,1900,United States,ARCHIVE_RECORD_COUNT,18,records,collection_facet,high,National Jukebox browse facet reports 18 recordings dated 1900
LOC_JB_COV_0002,LOC_NATIONAL_JUKEBOX,1901,United States,ARCHIVE_RECORD_COUNT,456,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0003,LOC_NATIONAL_JUKEBOX,1902,United States,ARCHIVE_RECORD_COUNT,298,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0004,LOC_NATIONAL_JUKEBOX,1903,United States,ARCHIVE_RECORD_COUNT,231,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0005,LOC_NATIONAL_JUKEBOX,1904,United States,ARCHIVE_RECORD_COUNT,605,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0006,LOC_NATIONAL_JUKEBOX,1905,United States,ARCHIVE_RECORD_COUNT,497,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0007,LOC_NATIONAL_JUKEBOX,1906,United States,ARCHIVE_RECORD_COUNT,592,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0008,LOC_NATIONAL_JUKEBOX,1907,United States,ARCHIVE_RECORD_COUNT,474,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0009,LOC_NATIONAL_JUKEBOX,1908,United States,ARCHIVE_RECORD_COUNT,769,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0010,LOC_NATIONAL_JUKEBOX,1909,United States,ARCHIVE_RECORD_COUNT,587,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0011,LOC_NATIONAL_JUKEBOX,1910,United States,ARCHIVE_RECORD_COUNT,764,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0012,LOC_NATIONAL_JUKEBOX,1911,United States,ARCHIVE_RECORD_COUNT,1022,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0013,LOC_NATIONAL_JUKEBOX,1912,United States,ARCHIVE_RECORD_COUNT,1066,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0014,LOC_NATIONAL_JUKEBOX,1913,United States,ARCHIVE_RECORD_COUNT,1176,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0015,LOC_NATIONAL_JUKEBOX,1914,United States,ARCHIVE_RECORD_COUNT,942,records,collection_facet,high,National Jukebox browse facet
LOC_JB_COV_0016,LOC_NATIONAL_JUKEBOX,1915,United States,ARCHIVE_RECORD_COUNT,1135,records,collection_facet,high,National Jukebox browse facet
