observation_id,source_id,record_id,time_id,place,variable_id,value_text,value_numeric,unit,evidence_type,confidence,notes
LOC_JB_0001,LOC_NATIONAL_JUKEBOX,jukebox-119924,1904-05-28,Philadelphia Pennsylvania,RECORDED_MUSIC_ITEM,Save it for me,,,recorded_archive,high,Victor recording; Billy Murray vocal; Bob Cole composer; James Weldon Johnson lyricist; humorous songs
LOC_JB_0002,LOC_NATIONAL_JUKEBOX,jukebox-247732,1905-04-29,Philadelphia Pennsylvania,RECORDED_MUSIC_ITEM,Who's there?,,,recorded_archive,high,Victor recording; Bob Roberts vocal; Chris Smith composer; Harry Brown lyricist; popular music
LOC_JB_0003,LOC_NATIONAL_JUKEBOX,jukebox-244946,1906-02-06,Philadelphia Pennsylvania,RECORDED_MUSIC_ITEM,Just a little rocking chair and you,,,recorded_archive,high,Victor recording; multiple vocalists; Theodore F Morse composer; vocal popular music
LOC_JB_0004,LOC_NATIONAL_JUKEBOX,jukebox-21028,1916-12-22,Camden New Jersey,RECORDED_MUSIC_ITEM,Pack up your troubles in your old kit bag and smile smile smile!,,,recorded_archive,high,Victor recording; musical theater and ethnic characterizations; Felix Powell composer; George Asaf lyricist
LOC_JB_0005,LOC_NATIONAL_JUKEBOX,jukebox-817666,1918-01-08,New York New York,RECORDED_MUSIC_ITEM,Tom Dick and Harry and Jack hurry back,,,recorded_archive,high,Columbia recording; Arthur Fields vocalist; Milton Ager composer; Howard E Johnson lyricist
LOC_JB_0006,LOC_NATIONAL_JUKEBOX,jukebox-29425,1918-06-18,Camden New Jersey,RECORDED_MUSIC_ITEM,There's a lump of sugar down in Dixie,,,recorded_archive,high,Victor recording; Marion Harris vocalist; Albert Gumble composer; Alfred Bryan and Jack Yellen lyricists
LOC_JB_0007,LOC_NATIONAL_JUKEBOX,jukebox-38351,1920-11-11,New York New York,RECORDED_MUSIC_ITEM,Honeydew,,,recorded_archive,high,Victor instrumental recording; Joseph C Smith Orchestra; Efrem Zimbalist composer
LOC_JB_0008,LOC_NATIONAL_JUKEBOX,jukebox-36642,1920-05-11,New York New York,RECORDED_MUSIC_ITEM,Hold me,,,recorded_archive,high,Victor recording; Palace Trio and collaborators; ragtime jazz and more
LOC_JB_0009,LOC_NATIONAL_JUKEBOX,jukebox-42137,1921-12-21,Camden New Jersey,RECORDED_MUSIC_ITEM,I'll forget you,,,recorded_archive,high,Victor recording; John Steel vocalist; Ernest R Ball composer; Annelu Burns lyricist
LOC_JB_0010,LOC_NATIONAL_JUKEBOX,jukebox-670014,1923-01-29,New York New York,RECORDED_MUSIC_ITEM,Seven or eleven / My Dixie pair o' dice,,,recorded_archive,high,Columbia recording; Dolly Kay vocalist; Walter Donaldson composer; Lew Brown lyricist
