observation_id,source_id,record_id,time_id,place,variable_id,value_text,value_numeric,unit,evidence_type,confidence,notes
LOC_JB_0011,LOC_NATIONAL_JUKEBOX,jukebox-248283,1910-11-04,Camden New Jersey,RECORDED_MUSIC_ITEM,Kalinka,,,recorded_archive,high,Victor; Albert G Janpolski vocalist; Russian-language; ethnic and popular music; target audience Russian
LOC_JB_0012,LOC_NATIONAL_JUKEBOX,jukebox-9063,1910-11-08,Mexico City Mexico,RECORDED_MUSIC_ITEM,Amina,,,recorded_archive,high,Victor; Orquesta Típica Lerdo; instrumental; target audience Spanish Mexico; ethnic and popular music
LOC_JB_0013,LOC_NATIONAL_JUKEBOX,jukebox-9079,1910-11-09,Mexico City Mexico,RECORDED_MUSIC_ITEM,México alegre,,,recorded_archive,high,Victor; Banda de Policía de México; instrumental; target audience Spanish Mexico; ethnic and popular music
LOC_JB_0014,LOC_NATIONAL_JUKEBOX,jukebox-129699,1910-12-29,Camden New Jersey,RECORDED_MUSIC_ITEM,Good bye,,,recorded_archive,high,Victor; Enrico Caruso vocalist; F Paolo Tosti composer; Italian-language
LOC_JB_0015,LOC_NATIONAL_JUKEBOX,jukebox-652836,1915-12-13,New York New York,RECORDED_MUSIC_ITEM,Old folks at home,,,recorded_archive,high,Columbia; Taylor Trio; Stephen Collins Foster composer; popular and traditional/country
LOC_JB_0016,LOC_NATIONAL_JUKEBOX,jukebox-61513,1922-03-16,New York New York,RECORDED_MUSIC_ITEM,Every day,,,recorded_archive,high,Victor; Joseph C Smith's Orchestra; William Daly composer; instrumental popular music
LOC_JB_0017,LOC_NATIONAL_JUKEBOX,jukebox-293187,1922-01-04,Camden New Jersey,RECORDED_MUSIC_ITEM,One sweetly solemn thought,,,recorded_archive,high,Victor; Elliott Shaw vocalist; R S Ambrose composer; Phoebe Cary lyricist; classical and religious
LOC_JB_0018,LOC_NATIONAL_JUKEBOX,jukebox-43586,1922-01-12,Camden New Jersey,RECORDED_MUSIC_ITEM,El relicario,,,recorded_archive,high,Victor; Titta Ruffo vocalist; José Padilla composer; Spanish-language; ethnic music
LOC_JB_0019,LOC_NATIONAL_JUKEBOX,jukebox-43744,1922-02-01,Chicago Illinois,RECORDED_MUSIC_ITEM,Angel child,,,recorded_archive,high,Victor; Benson Orchestra of Chicago; Roy Bargy; Abner Silver composer; instrumental popular music
LOC_JB_0020,LOC_NATIONAL_JUKEBOX,jukebox-44066,1922-02-14,New York New York,RECORDED_MUSIC_ITEM,Bygones,,,recorded_archive,high,Victor; Paul Whiteman Orchestra; Paul Whiteman; instrumental popular music
LOC_JB_0021,LOC_NATIONAL_JUKEBOX,jukebox-62426,1922-06-06,Camden New Jersey,RECORDED_MUSIC_ITEM,Lilly Dale,,,recorded_archive,high,Victor; Rosario Bourdon and Donald Chalmers; popular vocal music
LOC_JB_0022,LOC_NATIONAL_JUKEBOX,jukebox-63079,1922-07-01,New York New York,RECORDED_MUSIC_ITEM,Done gone,,,recorded_archive,high,Victor; Eck Robertson and Nathaniel Shilkret; traditional/country instrumental
LOC_JB_0023,LOC_NATIONAL_JUKEBOX,jukebox-63330,1922-08-31,New York New York,RECORDED_MUSIC_ITEM,Early in the morning blues,,,recorded_archive,high,Victor; Virginians; Ray Brown composer; blues and ragtime/jazz
LOC_JB_0024,LOC_NATIONAL_JUKEBOX,jukebox-63730,1922-08-30,Camden New Jersey,RECORDED_MUSIC_ITEM,A dudele,,,recorded_archive,high,Victor; Mordechai Hershman vocalist; Yiddish-language; Jewish target audience; ethnic music
LOC_JB_0025,LOC_NATIONAL_JUKEBOX,jukebox-62705,1922-06-29,Camden New Jersey,RECORDED_MUSIC_ITEM,My days have been so wondrous free,,,recorded_archive,high,Victor; Lambert Murphy vocalist; English-language; educational and popular music
