observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
HCLIM-CET-1659,GBR,1659,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,8.87,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,Earliest annual value in the supplied HadCET monthly series
HCLIM-CET-1700,GBR,1700,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,8.62,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1750,GBR,1750,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,9.71,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1800,GBR,1800,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,9.28,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1850,GBR,1850,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,9.10,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1900,GBR,1900,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,9.60,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1950,GBR,1950,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,9.43,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1960,GBR,1960,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,9.75,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1961,GBR,1961,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,9.95,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1962,GBR,1962,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,8.61,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1963,GBR,1963,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,8.52,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1964,GBR,1964,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,9.48,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1965,GBR,1965,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,8.99,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1966,GBR,1966,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,9.47,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
HCLIM-CET-1967,GBR,1967,CENTRAL_ENGLAND_ANNUAL_MEAN_TEMP,9.64,,degC,environment,weather,observed,HADCET_V2_1_1_0,high,observed,,,
