place_id,place_name,country,admin_level,time_id,year,variable_id,value,unit,evidence_type,source_id,confidence,missing_reason,caveat,notes
BFA, Burkina Faso,BFA,ADM0,2019,2019,flood.population_exposed.worldpop,2.40,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
BFA, Burkina Faso,BFA,ADM0,2019,2019,flood.population_exposed.landscan,2.72,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
BFA, Burkina Faso,BFA,ADM0,2019,2019,flood.population_exposed.hrsl,1.74,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
KHM, Cambodia,KHM,ADM0,2019,2019,flood.population_exposed.worldpop,6.26,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
KHM, Cambodia,KHM,ADM0,2019,2019,flood.population_exposed.landscan,6.86,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
KHM, Cambodia,KHM,ADM0,2019,2019,flood.population_exposed.hrsl,4.69,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
GHA,Ghana,GHA,ADM0,2019,2019,flood.population_exposed.worldpop,3.17,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
GHA,Ghana,GHA,ADM0,2019,2019,flood.population_exposed.landscan,3.83,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
GHA,Ghana,GHA,ADM0,2019,2019,flood.population_exposed.hrsl,2.57,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
HTI,Haiti,HTI,ADM0,2019,2019,flood.population_exposed.worldpop,3.14,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
HTI,Haiti,HTI,ADM0,2019,2019,flood.population_exposed.landscan,3.22,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
HTI,Haiti,HTI,ADM0,2019,2019,flood.population_exposed.hrsl,3.09,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
MDG,Madagascar,MDG,ADM0,2019,2019,flood.population_exposed.worldpop,4.41,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
MDG,Madagascar,MDG,ADM0,2019,2019,flood.population_exposed.landscan,4.66,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
MDG,Madagascar,MDG,ADM0,2019,2019,flood.population_exposed.hrsl,3.50,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
MWI,Malawi,MWI,ADM0,2019,2019,flood.population_exposed.worldpop,2.54,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
MWI,Malawi,MWI,ADM0,2019,2019,flood.population_exposed.landscan,2.50,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
MWI,Malawi,MWI,ADM0,2019,2019,flood.population_exposed.hrsl,1.61,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
MEX,Mexico,MEX,ADM0,2019,2019,flood.population_exposed.worldpop,30.36,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
MEX,Mexico,MEX,ADM0,2019,2019,flood.population_exposed.landscan,30.08,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
MEX,Mexico,MEX,ADM0,2019,2019,flood.population_exposed.hrsl,24.37,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
MOZ,Mozambique,MOZ,ADM0,2019,2019,flood.population_exposed.worldpop,5.69,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
MOZ,Mozambique,MOZ,ADM0,2019,2019,flood.population_exposed.landscan,6.38,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,LandScan population
MOZ,Mozambique,MOZ,ADM0,2019,2019,flood.population_exposed.hrsl,3.76,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,HRSL population
PHL,Philippines,PHL,ADM0,2019,2019,flood.population_exposed.worldpop,43.86,million_persons,MODELLED_HAZARD_EXPOSURE,src_smith_bates_2019_flood_exposure,high,,1-in-100-year floodplain; historical study,WorldPop population
