observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
edu24_usa_primary,USA,2024,SCHOOL_ENROLLMENT_PRIMARY,97.5,,percent,education,primary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,KNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_usa_secondary,USA,2024,SCHOOL_ENROLLMENT_SECONDARY,95.2,,percent,education,secondary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,KNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_usa_tertiary,USA,2024,SCHOOL_ENROLLMENT_TERTIARY,88.5,,percent,education,tertiary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,KNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_deu_primary,DEU,2024,SCHOOL_ENROLLMENT_PRIMARY,102.3,,percent,education,primary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,KNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio above 100% due to over-age enrollment"
edu24_deu_secondary,DEU,2024,SCHOOL_ENROLLMENT_SECONDARY,97.8,,percent,education,secondary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,KNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_deu_tertiary,DEU,2024,SCHOOL_ENROLLMENT_TERTIARY,71.2,,percent,education,tertiary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_jpn_primary,JPN,2024,SCHOOL_ENROLLMENT_PRIMARY,101.2,,percent,education,primary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_jpn_secondary,JPN,2024,SCHOOL_ENROLLMENT_SECONDARY,102.5,,percent,education,secondary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_jpn_tertiary,JPN,2024,SCHOOL_ENROLLMENT_TERTIARY,62.3,,percent,education,tertiary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_ind_primary,IND,2024,SCHOOL_ENROLLMENT_PRIMARY,105.8,,percent,education,primary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio; includes over-age enrollment"
edu24_ind_secondary,IND,2024,SCHOOL_ENROLLMENT_SECONDARY,75.2,,percent,education,secondary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_ind_tertiary,IND,2024,SCHOOL_ENROLLMENT_TERTIARY,28.4,,percent,education,tertiary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio; significant rural-urban variation"
edu24_bra_primary,BRA,2024,SCHOOL_ENROLLMENT_PRIMARY,103.2,,percent,education,primary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_bra_secondary,BRA,2024,SCHOOL_ENROLLMENT_SECONDARY,89.5,,percent,education,secondary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_bra_tertiary,BRA,2024,SCHOOL_ENROLLMENT_TERTIARY,53.2,,percent,education,tertiary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_chn_primary,CHN,2024,SCHOOL_ENROLLMENT_PRIMARY,104.5,,percent,education,primary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_chn_secondary,CHN,2024,SCHOOL_ENROLLMENT_SECONDARY,94.8,,percent,education,secondary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_chn_tertiary,CHN,2024,SCHOOL_ENROLLMENT_TERTIARY,58.7,,percent,education,tertiary,compiled_estimate,OWID_WB_EDUCATION_2024,HIGH,UNKNOWN,,,"UNESCO Institute for Statistics; gross enrollment ratio"
edu24_usa_teacher_pupil,USA,2024,TEACHER_PUPIL_RATIO,15.8,,pupils_per_teacher,education,primary,compiled_estimate,OWID_WB_EDUCATION_2024,MEDIUM,PARTIALLY_KNOWN,,,"Teacher-pupil ratio in primary education"
