observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
emp25_usa_emp,USA,2024,EMPLOYMENT_RATE,59.4,,percent,employment,labour,modeled_estimate,OWID_ILO_EMP_2025,HIGH,KNOWN,,,"ILO modeled estimate; employment rate = employed / working-age population (ages 15+)"
emp25_gbr_emp,GBR,2024,EMPLOYMENT_RATE,59.14,,percent,employment,labour,modeled_estimate,OWID_ILO_EMP_2025,HIGH,KNOWN,,,"ILO modeled estimate; employment rate = employed / working-age population (ages 15+)"
emp25_geo_emp,GEO,2024,EMPLOYMENT_RATE,54.2,,percent,employment,labour,modeled_estimate,OWID_ILO_EMP_2025,HIGH,KNOWN,,,"ILO modeled estimate"
emp25_deu_emp,DEU,2024,EMPLOYMENT_RATE,76.1,,percent,employment,labour,modeled_estimate,OWID_ILO_EMP_2025,HIGH,KNOWN,,,"ILO modeled estimate"
emp25_fra_emp,FRA,2024,EMPLOYMENT_RATE,64.4,,percent,employment,labour,modeled_estimate,OWID_ILO_EMP_2025,HIGH,UNKNOWN,,,"ILO modeled estimate"
emp25_jpn_emp,JPN,2024,EMPLOYMENT_RATE,63.5,,percent,employment,labour,modeled_estimate,OWID_ILO_EMP_2025,HIGH,UNKNOWN,,,"ILO modeled estimate"
emp25_ind_emp,IND,2024,EMPLOYMENT_RATE,51.5,,percent,employment,labour,modeled_estimate,OWID_ILO_EMP_2025,HIGH,UNKNOWN,,,"ILO modeled estimate"
emp25_bra_emp,BRA,2024,EMPLOYMENT_RATE,56.8,,percent,employment,labour,modeled_estimate,OWID_ILO_EMP_2025,HIGH,UNKNOWN,,,"ILO modeled estimate"
emp25_chn_emp,CHN,2024,EMPLOYMENT_RATE,66.2,,percent,employment,labour,modeled_estimate,OWID_ILO_EMP_2025,HIGH,UNKNOWN,,,"ILO modeled estimate"
emp25_mex_emp,MEX,2024,EMPLOYMENT_RATE,60.3,,percent,employment,labour,modeled_estimate,OWID_ILO_EMP_2025,HIGH,UNKNOWN,,,"ILO modeled estimate"
emp24_usa_unemp,USA,2024,UNEMPLOYMENT_RATE,4.2,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,KNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_gbr_unemp,GBR,2024,UNEMPLOYMENT_RATE,4.0,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,KNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_geo_unemp,GEO,2024,UNEMPLOYMENT_RATE,11.557,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,KNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_deu_unemp,DEU,2024,UNEMPLOYMENT_RATE,3.1,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,KNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_fra_unemp,FRA,2024,UNEMPLOYMENT_RATE,7.3,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,KNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_jpn_unemp,JPN,2024,UNEMPLOYMENT_RATE,2.6,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,KNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_ind_unemp,IND,2024,UNEMPLOYMENT_RATE,4.8,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,UNKNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_bra_unemp,BRA,2024,UNEMPLOYMENT_RATE,6.7,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,UNKNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_chn_unemp,CHN,2024,UNEMPLOYMENT_RATE,5.0,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,UNKNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_mex_unemp,MEX,2024,UNEMPLOYMENT_RATE,2.8,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,UNKNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_afg_unemp,AFG,2024,UNEMPLOYMENT_RATE,13.687,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,UNKNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_zaf_unemp,ZAF,2024,UNEMPLOYMENT_RATE,32.279,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,UNKNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_esp_unemp,ESP,2024,UNEMPLOYMENT_RATE,11.4,,percent,economy,labour,modeled_estimate,OWID_ILO_WB_2025,HIGH,UNKNOWN,,,"ILO modeled estimate via World Bank processed by Our World in Data"
emp24_usa_house_stock,USA,2024,HOUSING_STOCK,145000000,,units,housing,stock,compiled_estimate,OWID_WB_HOUSING_2024,MEDIUM,PARTIALLY_KNOWN,,,"Housing stock estimate; differs from occupied housing"
emp24_usa_occ_house,USA,2024,OCCUPIED_HOUSING,128000000,,units,housing,occupancy,compiled_estimate,OWID_WB_HOUSING_2024,MEDIUM,PARTIALLY_KNOWN,,,"Occupied housing units; differs from housing stock"
emp24_usa_avail_house,USA,2024,AVAILABLE_HOUSING,17000000,,units,housing,availability,compiled_estimate,OWID_WB_HOUSING_2024,MEDIUM,PARTIALLY_KNOWN,,,"Available housing units; differs from occupied housing"
emp24_gbr_house_stock,GBR,2024,HOUSING_STOCK,29000000,,units,housing,stock,compiled_estimate,OWID_WB_HOUSING_2024,MEDIUM,PARTIALLY_KNOWN,,,"Housing stock estimate; differs from occupied housing"
emp24_gbr_occ_house,GBR,2024,OCCUPIED_HOUSING,27500000,,units,housing,occupancy,compiled_estimate,OWID_WB_HOUSING_2024,MEDIUM,PARTIALLY_KNOWN,,,"Occupied housing units; differs from housing stock"
