observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
conn24_afg_internet,AFG,2024,INTERNET_USER_SHARE,16,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_mng_internet,MNG,2024,INTERNET_USER_SHARE,85,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_fji_internet,FJI,2024,INTERNET_USER_SHARE,75,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_usa_internet,USA,2024,INTERNET_USER_SHARE,95,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_geo_internet,GEO,2024,INTERNET_USER_SHARE,84,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_lca_internet,LCA,2024,INTERNET_USER_SHARE,68,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_omn_internet,OMN,2024,INTERNET_USER_SHARE,95,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_bhs_internet,BHS,2024,INTERNET_USER_SHARE,92,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_civ_internet,CIV,2024,INTERNET_USER_SHARE,41,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_bra_internet,BRA,2024,INTERNET_USER_SHARE,84,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_can_internet,CAN,2024,INTERNET_USER_SHARE,94,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn25_chn_internet,CHN,2025,INTERNET_USER_SHARE,92,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Most recent World Bank/ITU observation is 2025
conn24_deu_internet,DEU,2024,INTERNET_USER_SHARE,93,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_fra_internet,FRA,2024,INTERNET_USER_SHARE,89,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_gbr_internet,GBR,2024,INTERNET_USER_SHARE,95,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn25_ind_internet,IND,2025,INTERNET_USER_SHARE,70,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Most recent World Bank/ITU observation is 2025
conn24_idn_internet,IDN,2024,INTERNET_USER_SHARE,73,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_jpn_internet,JPN,2024,INTERNET_USER_SHARE,86,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_kor_internet,KOR,2024,INTERNET_USER_SHARE,98,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_mex_internet,MEX,2024,INTERNET_USER_SHARE,83,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_nga_internet,NGA,2024,INTERNET_USER_SHARE,41,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_pak_internet,PAK,2024,INTERNET_USER_SHARE,57,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_zaf_internet,ZAF,2024,INTERNET_USER_SHARE,78,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_eth_internet,ETH,2024,INTERNET_USER_SHARE,22,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_egy_internet,EGY,2024,INTERNET_USER_SHARE,75,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_bgd_internet,BGD,2024,INTERNET_USER_SHARE,53,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_vnm_internet,VNM,2024,INTERNET_USER_SHARE,84,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_tha_internet,THA,2024,INTERNET_USER_SHARE,91,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_phl_internet,PHL,2024,INTERNET_USER_SHARE,67,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_mys_internet,MYS,2024,INTERNET_USER_SHARE,98,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn25_aut_internet,AUT,2025,INTERNET_USER_SHARE,92,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Most recent World Bank/ITU observation is 2025
conn24_bel_internet,BEL,2024,INTERNET_USER_SHARE,96,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_col_internet,COL,2024,INTERNET_USER_SHARE,79,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_dnk_internet,DNK,2024,INTERNET_USER_SHARE,100,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_fin_internet,FIN,2024,INTERNET_USER_SHARE,94,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_grc_internet,GRC,2024,INTERNET_USER_SHARE,86,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_hun_internet,HUN,2024,INTERNET_USER_SHARE,94,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_irl_internet,IRL,2024,INTERNET_USER_SHARE,97,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_isr_internet,ISR,2024,INTERNET_USER_SHARE,88,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_ita_internet,ITA,2024,INTERNET_USER_SHARE,89,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_nld_internet,NLD,2024,INTERNET_USER_SHARE,97,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_pol_internet,POL,2024,INTERNET_USER_SHARE,89,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_prt_internet,PRT,2024,INTERNET_USER_SHARE,88,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_sau_internet,SAU,2024,INTERNET_USER_SHARE,100,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_esp_internet,ESP,2024,INTERNET_USER_SHARE,96,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn25_swe_internet,SWE,2025,INTERNET_USER_SHARE,96,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Most recent World Bank/ITU observation is 2025
conn25_che_internet,CHE,2025,INTERNET_USER_SHARE,97,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Most recent World Bank/ITU observation is 2025
conn25_tur_internet,TUR,2025,INTERNET_USER_SHARE,90,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Most recent World Bank/ITU observation is 2025
conn24_are_internet,ARE,2024,INTERNET_USER_SHARE,100,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
conn24_nzl_internet,NZL,2024,INTERNET_USER_SHARE,94,,percent,technology,connectivity,reported,WB_ITU_INTERNET_2024,HIGH,KNOWN,,,Individuals using the Internet as share of population
