source_id,publisher,dataset_name,url,access_date,geographic_coverage,temporal_coverage,method,license,known_biases,definition_notes
WB_WDI_COMPARE_2024,World Bank,World Development Indicators comparison pages,https://data.worldbank.org/,2026-09-06,Global country/economy coverage,2024 for seed indicators,Compiled World Bank indicators from official statistical agencies national statistical organisations OECD and World Bank estimates,CC BY-4.0,Country coverage and indicator reference years vary; estimates and revisions may occur,Population total GDP per capita current US dollars and life expectancy are retained as separate variables
OWID_ILO_WB_2025,Our World in Data / ILO / World Bank,Unemployment rate - ILO Modelled Estimates,https://ourworldindata.org/grapher/unemployment-rate,2026-09-06,Global country and regional coverage,1991-2025,ILO modelled estimates via World Bank processed by Our World in Data,CC BY 4.0 plus original provider terms,Model uncertainty national estimate differences labour-force definitions and reporting limitations,Unemployment measures labour underutilisation only and should not be treated as a complete measure of household economic hardship
OWID_WB_ELECTRICITY_2024,Our World in Data / World Bank,Share of population with access to electricity,https://ourworldindata.org/grapher/sdg-target-on-electricity-access,2026-09-06,Global country and regional coverage,1990-2024,World Bank compiled electrification data processed by Our World in Data,CC BY 4.0 plus original provider terms,Country-specific measurement and estimation differences,Access to electricity is distinct from reliability affordability and consumption
OWID_ITW_2024,Our World in Data / ITU / World Bank,Fixed broadband subscriptions,https://ourworldindata.org/grapher/landline-internet-subscriptions,2026-09-06,Global country and regional coverage,1998-2024,ITU data via World Bank processed by Our World in Data; nearest available year may be shown where 2024 is unavailable,CC BY 4.0 plus original provider terms,Technology definitions reporting gaps and nearest-year substitution,Subscription counts do not equal unique users; per-100 measures depend on population estimates
OWID_WB_WDI_PPP_2024,Our World in Data / World Bank,GDP per capita PPP constant 2021 international dollars,https://ourworldindata.org/grapher/gdp-per-capita-ppp,2026-09-06,Global country coverage,2024,World Bank WDI data as presented by Our World in Data; displayed source value rounding stored as-is,CC BY 4.0 plus original provider terms,Displayed source value rounding; stored numeric reflects displayed rounding,GDP per capita PPP in constant 2021 international dollars; 34 countries represented
OWID_ILO_EMP_2025,Our World in Data / ILO,Employment rate - modelled estimates,https://ourworldindata.org/grapher/employment-rate,2026-09-06,Global country coverage,2025,ILO modelled employment estimates via World Bank processed by Our World in Data,CC BY 4.0 plus original provider terms,Labour-force definition differences between countries,Employment rate measures employed share of working-age population; distinct from unemployment rate
OWID_WB_CRIME_2024,Our World in Data / UNODC,Crime statistics,https://ourworldindata.org/grapher/crimes-per-100000-people,2026-09-06,Global country coverage,1990-2024,UNODC crime statistics compiled by Our World in Data,CC BY 4.0 plus original provider terms,Definition varies by jurisdiction; recording practices differ,Crime statistics vary by definition and recording practices; should not be used alone to compare crime rates between countries
OWID_WB_HOUSING_2024,Our World in Data / World Bank,Housing statistics,https://ourworldindata.org/grapher/housing,2026-09-06,Global country coverage,1990-2024,World Bank housing data processed by Our World in Data,CC BY 4.0 plus original provider terms,Housing definitions vary by country; occupancy rates may use different bases,Housing stock occupied and available housing should be distinguished in analysis
OWID_WB_DRUGS_2024,Our World in Data / WHO,Drug and alcohol policy statistics,https://ourworldindata.org/grapher/drug-seizures,2026-09-06,Global country coverage,1999-2020,Global Health Observatory Data Repository WHO via World Bank processed by Our World in Data,CC BY 4.0 plus original provider terms,Drug seizure data reflects enforcement intensity not consumption; alcohol data year is 2020 not 2024,Alcohol consumption uses WHO projected estimates; data year 2020 (latest available); not 2024
OWID_WB_EDUCATION_2024,Our World in Data / UNESCO,Education statistics,https://ourworldindata.org/grapher/school-enrollment,2026-09-06,Global country coverage,2000-2024,UNESCO Institute for Statistics processed by Our World in Data,CC BY 4.0 plus original provider terms,Gross vs net enrollment rates differ; definitions vary by country,Education enrollment should be distinguished from learning outcomes
OWID_WB_AGRICULTURE_2024,Our World in Data / FAO,Agricultural production statistics,https://ourworldindata.org/grapher/crop-production,2026-09-06,Global country coverage,1961-2024,FAO agricultural production data processed by Our World in Data,CC BY 4.0 plus original provider terms,Agricultural production indices use different base years across sources,Agricultural production should be distinguished from food security measures
OWID_WB_TECHNOLOGY_2024,Our World in Data / ITU,Technology and innovation statistics,https://ourworldindata.org/grapher/internet-users,2026-09-06,Global country coverage,1990-2024,ITU and World Bank technology data processed by Our World in Data,CC BY 4.0 plus original provider terms,Internet user definitions vary; multiple devices may share one subscription,Technology adoption should be distinguished from technology infrastructure
OWID_WB_POLLITICS_2024,Our World in Data / V-Dem,Political statistics,https://ourworldindata.org/grapher/electoral-turnout,2026-09-06,Global country coverage,1900-2024,V-Dem and World Bank political data processed by Our World in Data,CC BY 4.0 plus original provider terms,Perception-based measures differ from objective governance measures,Political perception indices should not be substituted for actual governance outcomes
OWID_WB_ILO_UNEMP_2025,Our World in Data / ILO / World Bank,Unemployment rate national estimates,https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS,2026-09-06,Global country coverage,2024,World Bank national accounts data and OECD National Accounts data,CC BY-4.0 plus original provider terms,National estimates differ from ILO modelled estimates,National unemployment estimates vary by country methodology
