observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
owidppp24_usa_gdppc,USA,2024,GDP_PC_PPP_2021_INTL,75490,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_gbr_gdppc,GBR,2024,GDP_PC_PPP_2021_INTL,52620,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_deu_gdppc,DEU,2024,GDP_PC_PPP_2021_INTL,62550,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_fra_gdppc,FRA,2024,GDP_PC_PPP_2021_INTL,54800,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_ita_gdppc,ITA,2024,GDP_PC_PPP_2021_INTL,53270,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_jpn_gdppc,JPN,2024,GDP_PC_PPP_2021_INTL,46110,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_kor_gdppc,KOR,2024,GDP_PC_PPP_2021_INTL,55070,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_chn_gdppc,CHN,2024,GDP_PC_PPP_2021_INTL,23850,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_ind_gdppc,IND,2024,GDP_PC_PPP_2021_INTL,9820,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_bra_gdppc,BRA,2024,GDP_PC_PPP_2021_INTL,19650,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_zaf_gdppc,ZAF,2024,GDP_PC_PPP_2021_INTL,13600,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_nga_gdppc,NGA,2024,GDP_PC_PPP_2021_INTL,7990,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_egy_gdppc,EGY,2024,GDP_PC_PPP_2021_INTL,16800,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_ken_gdppc,KEN,2024,GDP_PC_PPP_2021_INTL,5850,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_gha_gdppc,GHA,2024,GDP_PC_PPP_2021_INTL,7060,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_eth_gdppc,ETH,2024,GDP_PC_PPP_2021_INTL,2890,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_rwa_gdppc,RWA,2024,GDP_PC_PPP_2021_INTL,3260,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_tza_gdppc,TZA,2024,GDP_PC_PPP_2021_INTL,3710,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_afg_gdppc,AFG,2024,GDP_PC_PPP_2021_INTL,1980,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_pak_gdppc,PAK,2024,GDP_PC_PPP_2021_INTL,5500,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_bgd_gdppc,BGD,2024,GDP_PC_PPP_2021_INTL,8490,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_npl_gdppc,NPL,2024,GDP_PC_PPP_2021_INTL,5050,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_idn_gdppc,IDN,2024,GDP_PC_PPP_2021_INTL,14470,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_vnm_gdppc,VNM,2024,GDP_PC_PPP_2021_INTL,14420,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_tha_gdppc,THA,2024,GDP_PC_PPP_2021_INTL,21740,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_phl_gdppc,PHL,2024,GDP_PC_PPP_2021_INTL,10380,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_mys_gdppc,MYS,2024,GDP_PC_PPP_2021_INTL,11880,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_sgp_gdppc,SGP,2024,GDP_PC_PPP_2021_INTL,132570,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_mng_gdppc,MNG,2024,GDP_PC_PPP_2021_INTL,16840,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_geo_gdppc,GEO,2024,GDP_PC_PPP_2021_INTL,24880,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_sau_gdppc,SAU,2024,GDP_PC_PPP_2021_INTL,62790,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_are_gdppc,ARE,2024,GDP_PC_PPP_2021_INTL,69700,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_qat_gdppc,QAT,2024,GDP_PC_PPP_2021_INTL,110890,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_nor_gdppc,NOR,2024,GDP_PC_PPP_2021_INTL,91110,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_che_gdppc,CHE,2024,GDP_PC_PPP_2021_INTL,82290,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_aus_gdppc,AUS,2024,GDP_PC_PPP_2021_INTL,60300,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_caf_gdppc,CAF,2024,GDP_PC_PPP_2021_INTL,1110,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_cod_gdppc,COD,2024,GDP_PC_PPP_2021_INTL,1600,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
owidppp24_bdi_gdppc,BDI,2024,GDP_PC_PPP_2021_INTL,1050,,international_$_2021_prices,economy,national_accounts,compiled_estimate,OWID_WB_WDI_PPP_2024,HIGH,KNOWN,,Displayed source value rounded; stored numeric reflects displayed rounding,World Bank WDI 2026 via Our World in Data
