observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
gov24_usa_party,USA,2024,POLITICAL_PARTY_COUNT,2,,count,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Number of political parties with legislative representation; two-party dominant"
gov24_deu_party,DEU,2024,POLITICAL_PARTY_COUNT,6,,count,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Number of political parties with legislative representation; multi-party coalition"
gov24_jpn_party,JPN,2024,POLITICAL_PARTY_COUNT,5,,count,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Number of political parties with legislative representation; LDP dominant"
gov24_ind_party,IND,2024,POLITICAL_PARTY_COUNT,8,,count,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Number of political parties with legislative representation; multi-party system"
gov24_usa_govt_spend,USA,2024,GOVERNMENT_SPENDING,38.0,,percent,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Government spending as percentage of GDP"
gov24_deu_govt_spend,DEU,2024,GOVERNMENT_SPENDING,45.0,,percent,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Government spending as percentage of GDP; German social market economy"
gov24_jpn_govt_spend,JPN,2024,GOVERNMENT_SPENDING,43.0,,percent,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Government spending as percentage of GDP"
gov24_ind_govt_spend,IND,2024,GOVERNMENT_SPENDING,30.0,,percent,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Government spending as percentage of GDP"
gov24_usa_corruption,USA,2024,CORRUPTION_PERCEPTION_INDEX,69,,index,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Transparency International Corruption Perceptions Index (0-100, higher = less corrupt)"
gov24_deu_corruption,DEU,2024,CORRUPTION_PERCEPTION_INDEX,78,,index,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Transparency International Corruption Perceptions Index (0-100, higher = less corrupt)"
gov24_jpn_corruption,JPN,2024,CORRUPTION_PERCEPTION_INDEX,73,,index,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Transparency International Corruption Perceptions Index (0-100, higher = less corrupt)"
gov24_ind_corruption,IND,2024,CORRUPTION_PERCEPTION_INDEX,39,,index,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Transparency International Corruption Perceptions Index (0-100, higher = less corrupt)"
gov24_bra_corruption,BRA,2024,CORRUPTION_PERCEPTION_INDEX,34,,index,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Transparency International Corruption Perceptions Index (0-100, higher = less corrupt)"
gov24_chn_corruption,CHN,2024,CORRUPTION_PERCEPTION_INDEX,42,,index,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Transparency International Corruption Perceptions Index (0-100, higher = less corrupt)"
gov24_usa_turnout,USA,2024,ELECTORAL_TURNOUT,62.0,,percent,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Electoral turnout in most recent national election"
gov24_deu_turnout,DEU,2024,ELECTORAL_TURNOUT,77.0,,percent,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Electoral turnout in most recent national election"
gov24_jpn_turnout,JPN,2024,ELECTORAL_TURNOUT,55.0,,percent,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Electoral turnout in most recent national election"
gov24_ind_turnout,IND,2024,ELECTORAL_TURNOUT,67.0,,percent,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Electoral turnout; world's largest democracy"
gov24_chn_turnout,CHN,2024,ELECTORAL_TURNOUT,70.0,,percent,politics,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Electoral turnout in National People's Congress election"
biz24_usa_business_reg,USA,2024,BUSINESS_REGISTRATION,480,,registrations_per_100000,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"New business registrations per 100,000 population"
biz24_deu_business_reg,DEU,2024,BUSINESS_REGISTRATION,350,,registrations_per_100000,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"New business registrations per 100,000 population"
biz24_jpn_business_reg,JPN,2024,BUSINESS_REGISTRATION,280,,registrations_per_100000,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"New business registrations per 100,000 population"
biz24_ind_business_reg,IND,2024,BUSINESS_REGISTRATION,120,,registrations_per_100000,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"New business registrations per 100,000 population"
biz24_usa_business_density,USA,2024,BUSINESS_DENSITY,85,,businesses_per_1000,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Registered businesses per 1,000 population"
biz24_deu_business_density,DEU,2024,BUSINESS_DENSITY,75,,businesses_per_1000,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Registered businesses per 1,000 population"
biz24_jpn_business_density,JPN,2024,BUSINESS_DENSITY,60,,businesses_per_1000,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Registered businesses per 1,000 population"
biz24_ind_business_density,IND,2024,BUSINESS_DENSITY,25,,businesses_per_1000,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Registered businesses per 1,000 population"
biz24_usa_market_conc,USA,2024,MARKET_CONCENTRATION,45.0,,percent,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Market concentration estimated as share of revenue controlled by largest firms"
biz24_deu_market_conc,DEU,2024,MARKET_CONCENTRATION,35.0,,percent,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Market concentration estimated as share of revenue controlled by largest firms"
biz24_jpn_market_conc,JPN,2024,MARKET_CONCENTRATION,40.0,,percent,businesses,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Market concentration estimated as share of revenue controlled by largest firms"
char24_usa_charity,USA,2024,CHARITY_COUNT,550,,charities_per_100000,charities_interventions,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Registered charities per 100,000 population"
char24_deu_charity,DEU,2024,CHARITY_COUNT,320,,charities_per_100000,charities_interventions,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Registered charities per 100,000 population"
char24_uk_charity,GBR,2024,CHARITY_COUNT,450,,charities_per_100000,charities_interventions,primary,compiled_estimate,OWID_WB_POLLITICS_2024,MEDIUM,PARTIALLY_KNOWN,,,"Registered charities per 100,000 population"
