observation_id,place_id,time_id,variable_id,value_numeric,value_text,unit,category,sub_category,evidence_type,source_id,confidence,status,missing_reason,caveat,notes
wb24_afg_pop,AFG,2024,POP_TOTAL,42647492,,persons,population,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_afg_gdppc,AFG,2024,GDP_PC_CURRENT_USD,413.8,,USD_per_person,economy,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_afg_life,AFG,2024,LIFE_EXPECTANCY,66,,years,health,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_mng_pop,MNG,2024,POP_TOTAL,3524788,,persons,population,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_mng_gdppc,MNG,2024,GDP_PC_CURRENT_USD,6750.6,,USD_per_person,economy,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_mng_life,MNG,2024,LIFE_EXPECTANCY,72,,years,health,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_fji_pop,FJI,2024,POP_TOTAL,928784,,persons,population,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_fji_gdppc,FJI,2024,GDP_PC_CURRENT_USD,6425.7,,USD_per_person,economy,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_fji_life,FJI,2024,LIFE_EXPECTANCY,67,,years,health,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_usa_pop,USA,2024,POP_TOTAL,340110988,,persons,population,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_usa_gdppc,USA,2024,GDP_PC_CURRENT_USD,84534.0,,USD_per_person,economy,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_usa_life,USA,2024,LIFE_EXPECTANCY,79,,years,health,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_geo_pop,GEO,2024,POP_TOTAL,3699557,,persons,population,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_geo_gdppc,GEO,2024,GDP_PC_CURRENT_USD,9241.5,,USD_per_person,economy,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_geo_life,GEO,2024,LIFE_EXPECTANCY,75,,years,health,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_lca_pop,LCA,2024,POP_TOTAL,179744,,persons,population,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_lca_gdppc,LCA,2024,GDP_PC_CURRENT_USD,14181.6,,USD_per_person,economy,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_lca_life,LCA,2024,LIFE_EXPECTANCY,73,,years,health,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_omn_pop,OMN,2024,POP_TOTAL,5281538,,persons,population,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_omn_gdppc,OMN,2024,GDP_PC_CURRENT_USD,20285.2,,USD_per_person,economy,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_omn_life,OMN,2024,LIFE_EXPECTANCY,80,,years,health,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_bhs_pop,BHS,2024,POP_TOTAL,401283,,persons,population,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_bhs_gdppc,BHS,2024,GDP_PC_CURRENT_USD,39455.4,,USD_per_person,economy,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_bhs_life,BHS,2024,LIFE_EXPECTANCY,75,,years,health,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_civ_pop,CIV,2024,POP_TOTAL,31934230,,persons,population,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_civ_gdppc,CIV,2024,GDP_PC_CURRENT_USD,2727.9,,USD_per_person,economy,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
wb24_civ_life,CIV,2024,LIFE_EXPECTANCY,62,,years,health,,,WB_WDI_COMPARE_2024,HIGH,KNOWN,,,World Bank WDI 2024
